Sample description: b'Au'
Sample: b'Au'  c= 0 mg/ml  Code: 
Parent(s): /mxn/home/cosaxs-user/data-visitors/20240016/2025012112/process/scan-86116_eiger.dat /mxn/home/cosaxs-user/data-visitors/20240016/2025012112/process/scan-86118_eiger.dat
  1.519030e-02   3.451585e+01   5.735300e-02
  1.526137e-02   3.407987e+01   5.677004e-02
  1.533243e-02   3.356719e+01   5.623126e-02
  1.540349e-02   3.318699e+01   5.586964e-02
  1.547455e-02   3.279932e+01   5.543826e-02
  1.554562e-02   3.243979e+01   5.489242e-02
  1.561668e-02   3.215265e+01   5.458536e-02
  1.568774e-02   3.166948e+01   5.411445e-02
  1.575881e-02   3.136079e+01   5.373656e-02
  1.582987e-02   3.085029e+01   5.311597e-02
  1.590093e-02   3.042119e+01   5.266207e-02
  1.597199e-02   3.019269e+01   5.241324e-02
  1.604306e-02   2.968829e+01   5.182979e-02
  1.611412e-02   2.946238e+01   5.147495e-02
  1.618518e-02   2.908084e+01   5.106015e-02
  1.625624e-02   2.861295e+01   5.060386e-02
  1.632731e-02   2.833589e+01   5.024502e-02
  1.639837e-02   2.793728e+01   4.972837e-02
  1.646943e-02   2.756381e+01   4.932110e-02
  1.654049e-02   2.716017e+01   4.890845e-02
  1.661156e-02   2.677492e+01   4.844909e-02
  1.668262e-02   2.639261e+01   4.794916e-02
  1.675368e-02   2.608775e+01   4.760383e-02
  1.682474e-02   2.571035e+01   4.722668e-02
  1.689581e-02   2.531693e+01   4.675159e-02
  1.696687e-02   2.502488e+01   4.636377e-02
  1.703793e-02   2.467248e+01   4.594899e-02
  1.710899e-02   2.432895e+01   4.560566e-02
  1.718006e-02   2.400021e+01   4.519146e-02
  1.725112e-02   2.369648e+01   4.478445e-02
  1.732218e-02   2.340431e+01   4.443392e-02
  1.739325e-02   2.311191e+01   4.412482e-02
  1.746431e-02   2.281765e+01   4.375282e-02
  1.753537e-02   2.244885e+01   4.322869e-02
  1.760643e-02   2.213410e+01   4.288646e-02
  1.767750e-02   2.186329e+01   4.260242e-02
  1.774856e-02   2.155204e+01   4.219711e-02
  1.781962e-02   2.127817e+01   4.180181e-02
  1.789068e-02   2.097644e+01   4.148401e-02
  1.796175e-02   2.069205e+01   4.115434e-02
  1.803281e-02   2.030522e+01   4.065349e-02
  1.810387e-02   2.004299e+01   4.029547e-02
  1.817493e-02   1.977254e+01   3.998206e-02
  1.824600e-02   1.952418e+01   3.969654e-02
  1.831706e-02   1.926107e+01   3.935258e-02
  1.838812e-02   1.894369e+01   3.892697e-02
  1.845918e-02   1.866044e+01   3.857518e-02
  1.853025e-02   1.833217e+01   3.820787e-02
  1.860131e-02   1.810939e+01   3.788663e-02
  1.867237e-02   1.783653e+01   3.750100e-02
  1.874344e-02   1.751219e+01   3.710379e-02
  1.881450e-02   1.730295e+01   3.687822e-02
  1.888556e-02   1.710510e+01   3.660074e-02
  1.895662e-02   1.677085e+01   3.612134e-02
  1.902769e-02   1.653454e+01   3.582246e-02
  1.909875e-02   1.634045e+01   3.560109e-02
  1.916981e-02   1.609518e+01   3.525044e-02
  1.924087e-02   1.581460e+01   3.484644e-02
  1.931194e-02   1.568254e+01   3.468126e-02
  1.938300e-02   1.537731e+01   3.431746e-02
  1.945406e-02   1.520738e+01   3.403866e-02
  1.952512e-02   1.495523e+01   3.366097e-02
  1.959619e-02   1.471137e+01   3.336515e-02
  1.966725e-02   1.452749e+01   3.313676e-02
  1.973831e-02   1.432198e+01   3.283387e-02
  1.980937e-02   1.399138e+01   3.233867e-02
  1.988044e-02   1.382077e+01   3.212898e-02
  1.995150e-02   1.357190e+01   3.180924e-02
  2.002256e-02   1.338554e+01   3.155614e-02
  2.009362e-02   1.316625e+01   3.121323e-02
  2.016469e-02   1.296804e+01   3.095223e-02
  2.023575e-02   1.282254e+01   3.075031e-02
  2.030681e-02   1.254261e+01   3.033636e-02
  2.037788e-02   1.242618e+01   3.012825e-02
  2.044894e-02   1.221364e+01   2.985820e-02
  2.052000e-02   1.199125e+01   2.956461e-02
  2.059106e-02   1.173249e+01   2.916471e-02
  2.066213e-02   1.156589e+01   2.889844e-02
  2.073319e-02   1.143675e+01   2.871513e-02
  2.080425e-02   1.121897e+01   2.840268e-02
  2.087531e-02   1.108018e+01   2.817007e-02
  2.094638e-02   1.084346e+01   2.780364e-02
  2.101744e-02   1.070229e+01   2.760180e-02
  2.108850e-02   1.056310e+01   2.739725e-02
  2.115956e-02   1.037704e+01   2.713788e-02
  2.123063e-02   1.020636e+01   2.732567e-02
  2.130169e-02   1.005337e+01   2.742923e-02
  2.137275e-02   9.856194e+00   2.734384e-02
  2.144381e-02   9.691198e+00   2.724540e-02
  2.151488e-02   9.555472e+00   2.721251e-02
  2.158594e-02   9.388501e+00   2.710167e-02
  2.165700e-02   9.239036e+00   2.697727e-02
  2.172806e-02   9.080573e+00   2.681237e-02
  2.179913e-02   8.942772e+00   2.669865e-02
  2.187019e-02   8.786573e+00   2.655387e-02
  2.194125e-02   8.612583e+00   2.632212e-02
  2.201232e-02   8.442697e+00   2.605900e-02
  2.208338e-02   8.285409e+00   2.581695e-02
